Valores de variáveis;;;;;
Nome;Descrição;Nível de medição;Catergoria;Descrição da categoria;Tamanho
SbjNum;QUESTIONÁRIO;Numérica;;;5
UF;UF;Numérica;11;RO;2
;;;12;AC;
;;;13;AM;
;;;14;RR;
;;;15;PA;
;;;16;AP;
;;;17;TO;
;;;21;MA;
;;;22;PI;
;;;23;CE;
;;;24;RN;
;;;25;PB;
;;;26;PE;
;;;27;AL;
;;;28;SE;
;;;29;BA;
;;;31;MG;
;;;32;ES;
;;;33;RJ;
;;;35;SP;
;;;41;PR;
;;;42;SC;
;;;43;RS;
;;;50;MS;
;;;51;MT;
;;;52;GO;
;;;53;DF;
SEXO;SEXO;Numérica;1;MAS;1
;;;2;FEM;
IDADE;IDADE;Numérica;;;2
IDAD;FAIXA ETÁRIA;Numérica;1;16 E 17;1
;;;2;18 A 24;
;;;3;25 A 34;
;;;4;35 A 44;
;;;5;45 A 54;
;;;6;55 A 64;
;;;7;65 E MAIS;
ALFAB;Sabe ler e escrever um bilhete simples?;Numérica;1;Sim;1
;;;2;Não;
INST;ESCOLARIDADE;Numérica;1;Analfabeto;1
;;;2;Sabe ler e escrever, mas não cursou a escola;
;;;3;Primário incompleto;
;;;4;Primário completo;
;;;5;Ginásio incompleto;
;;;6;Ginásio completo;
;;;7;Colegial incompleto;
;;;8;Colegial completo;
;;;9;Superior incompleto;
;;;10;Superior completo;
INST_FAIXA;ESCOLARIDADE;Numérica;6;ENS. FUNDAMENTAL;1
;;;8;ENS. MÉDIO;
;;;10;SUPERIOR;
ATIV01;RAMO DE ATIVIDADE;Numérica;1;Agricultura;2
;;;2;Indúst. Transformação;
;;;3;Construção/ Outras;
;;;4;Comércio;
;;;5;Transporte/ Comunic.;
;;;6;Prestação de Serviços;
;;;7;Atividade social;
;;;8;Administração Pública;
;;;9;Outras atividades;
;;;10;Inativos;
ATIV02;RAMO DE ATIVIDADE;Numérica;11;Atividade Doméstica;2
;;;91;Não se aplica;
P101;Em que meio de comunicação o(a) sr(a) se informa mais sobre o que acontece no Brasil? (1º lugar);Numérica;1;TV;2
;;;2;Rádio;
;;;3;Jornal;
;;;4;Revista;
;;;5;Internet;
;;;6;Meio externo (placas publicitárias, outdoor, ônibus, elevador, metrô, aeroporto);
;;;96;Outros;
;;;98;Não sabe;
;;;99;Não respondeu;
